steamLink,title_en,title_zh,title_ja,image_fx
https://store.steampowered.com/app/2325390/AirBoost/,AirBoost : 天空機士,AirBoost : 天空機士,AirBoost : 天空機士,
https://store.steampowered.com/app/3425800/Capture_Catcoffee/,Capture Catcoffee,Capture Catcoffee,Capture Catcoffee,
https://store.steampowered.com/app/3211560/,死深 / Die Deep,死深 / Die Deep,死深 / Die Deep,
https://store.steampowered.com/app/3344580/Runai/,露奈伊物語/Runai,露奈伊物語/Runai,露奈伊物語/Runai,
https://store.steampowered.com/app/3196150/Lami_A_Cup_of_Code__Coffee/,拉米：程式與咖啡 / Lami: A Cup of Code & Coffee,拉米：程式與咖啡 / Lami: A Cup of Code & Coffee,拉米：程式與咖啡 / Lami: A Cup of Code & Coffee,
https://store.steampowered.com/app/1414910/_/,蒼色之光與魔劍鍛造師 / The Shimmering Horizon and Cursed Blacksmith,蒼色之光與魔劍鍛造師 / The Shimmering Horizon and Cursed Blacksmith,蒼色之光與魔劍鍛造師 / The Shimmering Horizon and Cursed Blacksmith,
https://store.steampowered.com/app/3183230/Dream_Strikers/,Dream Strikers 夢魘獵人,Dream Strikers 夢魘獵人,Dream Strikers 夢魘獵人,
https://store.steampowered.com/app/3253950/Awaking_Beauty/,Awaking Beauty,Awaking Beauty,Awaking Beauty,
https://store.steampowered.com/app/3539480/Back_of_Beyond/,Back of Beyond,Back of Beyond,Back of Beyond,
https://store.steampowered.com/app/1302850/Tails_of_Trainspot/,島嶼鐵道局/Tails of Trainspot,島嶼鐵道局/Tails of Trainspot,島嶼鐵道局/Tails of Trainspot,
https://store.steampowered.com/app/3082000/,裝備之路: 鐵匠傳奇,裝備之路: 鐵匠傳奇,裝備之路: 鐵匠傳奇,
https://store.steampowered.com/app/3090620/Arcade_Galaxy/,Arcade Galaxy,Arcade Galaxy,Arcade Galaxy,
https://store.steampowered.com/app/1858450/QUIT_TODAY/,即刻離職/QUIT TODAY,即刻離職/QUIT TODAY,即刻離職/QUIT TODAY,
https://store.steampowered.com/app/2692030/_/,女武神小隊：突破重圍 / Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍 / Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍 / Valkyrie Squad: Siege Breakers,
https://store.steampowered.com/app/3230380/_/,阿雷塔/YARETA,阿雷塔/YARETA,阿雷塔/YARETA,
https://store.steampowered.com/app/1335360/,大廚老陳 Chef Chen,大廚老陳 Chef Chen,大廚老陳 Chef Chen,
https://store.steampowered.com/app/1631670/_/?l=tchinese,倒轉方舟/Ahno's ark,倒轉方舟/Ahno's ark,倒轉方舟/Ahno's ark,
https://store.steampowered.com/app/1788060/_/,幽暗森林裡的糖果屋/CANDY HOUSE in the DARK FOREST,幽暗森林裡的糖果屋/CANDY HOUSE in the DARK FOREST,幽暗森林裡的糖果屋/CANDY HOUSE in the DARK FOREST,
https://store.steampowered.com/app/2871140/,誰是中之人/The Real Face of a VTuber,誰是中之人/The Real Face of a VTuber,誰是中之人/The Real Face of a VTuber,
https://store.steampowered.com/app/2367120/,血百合怪談 / Blood Lily Ghoststories,血百合怪談 / Blood Lily Ghoststories,血百合怪談 / Blood Lily Ghoststories,
https://store.steampowered.com/app/2548910/,和平締造者：腥紅帝王 / Peacemaker: Bloody Emperor,和平締造者：腥紅帝王 / Peacemaker: Bloody Emperor,和平締造者：腥紅帝王 / Peacemaker: Bloody Emperor,
https://store.steampowered.com/app/2675270/,血百合輪迴 / Blood Lily Loop,血百合輪迴 / Blood Lily Loop,血百合輪迴 / Blood Lily Loop,
https://store.steampowered.com/app/1977070/,和平締造者：光輝王女 / Peacemaker: Glorious Princess,和平締造者：光輝王女 / Peacemaker: Glorious Princess,和平締造者：光輝王女 / Peacemaker: Glorious Princess,
https://store.steampowered.com/app/2084180/,案件０３：真・食人小男孩 / Case 03: True Cannibal Boy,案件０３：真・食人小男孩 / Case 03: True Cannibal Boy,案件０３：真・食人小男孩 / Case 03: True Cannibal Boy,
https://store.steampowered.com/app/1188460/_/,重力逃脫 /Gravity Escape,重力逃脫 /Gravity Escape,重力逃脫 /Gravity Escape,
